dataset,n,error,trie+suffixes bytes,trie bytes,nodes,ns/lookup
az-words_truncated20.txt,895612,6000,1285,727,98,151
az-words_truncated20.txt,895612,6100,1271,727,97,151
az-words_truncated20.txt,895612,6200,1194,712,94,150
az-words_truncated20.txt,895612,6300,1222,711,93,177
az-words_truncated20.txt,895612,6400,1240,713,91,152
az-words_truncated20.txt,895612,6500,1174,702,88,164
az-words_truncated20.txt,895612,6600,1152,702,89,169
az-words_truncated20.txt,895612,6700,1165,698,88,166
az-words_truncated20.txt,895612,6800,1167,679,85,146
az-words_truncated20.txt,895612,6900,1140,679,86,150
az-words_truncated20.txt,895612,7000,1093,678,84,147
az-words_truncated20.txt,895612,7100,1099,679,85,167
az-words_truncated20.txt,895612,7200,1108,672,82,146
az-words_truncated20.txt,895612,7300,1086,670,80,145
az-words_truncated20.txt,895612,7400,1063,671,81,148
az-words_truncated20.txt,895612,7500,1056,666,79,168
az-words_truncated20.txt,895612,7600,1113,665,79,151
az-words_truncated20.txt,895612,7700,1037,663,78,145
az-words_truncated20.txt,895612,7800,1066,664,77,149
az-words_truncated20.txt,895612,7900,1059,659,74,169
az-words_truncated20.txt,895612,8000,1049,657,74,145
az-words_truncated20.txt,895612,8100,1053,656,74,149
az-words_truncated20.txt,895612,8200,1015,653,71,209
az-words_truncated20.txt,895612,8300,1000,655,73,162
az-words_truncated20.txt,895612,8400,1036,658,74,154
az-words_truncated20.txt,895612,8500,993,650,71,147
az-words_truncated20.txt,895612,8600,1024,647,69,198
az-words_truncated20.txt,895612,8700,1025,647,69,139
az-words_truncated20.txt,895612,8800,1026,649,69,139
az-words_truncated20.txt,895612,8900,991,645,67,164
az-words_truncated20.txt,895612,9000,991,643,66,143
az-words_truncated20.txt,895612,9100,990,642,64,143
az-words_truncated20.txt,895612,9200,994,640,65,166
az-words_truncated20.txt,895612,9300,951,640,65,145
az-words_truncated20.txt,895612,9400,969,637,63,148
az-words_truncated20.txt,895612,9500,991,638,64,173
az-words_truncated20.txt,895612,9600,991,638,63,147
az-words_truncated20.txt,895612,9700,966,637,62,143
az-words_truncated20.txt,895612,9800,970,629,59,163
az-words_truncated20.txt,895612,9900,955,630,60,144
az-words_truncated20.txt,895612,10000,958,632,60,145
GeoNames_truncated20.txt,7240280,0,43481392,36773268,12347237,1454
GeoNames_truncated20.txt,7240280,2,12295238,8542584,2722828,1004
GeoNames_truncated20.txt,7240280,4,6690209,4195390,1333189,938
GeoNames_truncated20.txt,7240280,6,4641366,2710083,879322,879
GeoNames_truncated20.txt,7240280,8,3627501,2029395,656432,839
GeoNames_truncated20.txt,7240280,10,3000563,1622511,523895,820
GeoNames_truncated20.txt,7240280,20,1634929,788203,260338,714
GeoNames_truncated20.txt,7240280,30,1153513,525909,173162,662
GeoNames_truncated20.txt,7240280,40,888824,383552,129635,612
GeoNames_truncated20.txt,7240280,50,733558,307088,103527,582
GeoNames_truncated20.txt,7240280,60,625201,255964,86101,570
GeoNames_truncated20.txt,7240280,70,545421,219606,73626,586
GeoNames_truncated20.txt,7240280,80,487426,192225,64382,528
GeoNames_truncated20.txt,7240280,90,439425,170915,57175,516
GeoNames_truncated20.txt,7240280,100,396071,149543,51541,505
GeoNames_truncated20.txt,7240280,110,364257,135935,46727,497
GeoNames_truncated20.txt,7240280,120,336123,124631,42738,531
GeoNames_truncated20.txt,7240280,130,313709,115193,39517,482
GeoNames_truncated20.txt,7240280,140,293115,107082,36649,476
GeoNames_truncated20.txt,7240280,150,277921,100089,34160,470
GeoNames_truncated20.txt,7240280,160,261098,93985,32120,466
GeoNames_truncated20.txt,7240280,170,248638,88393,30136,509
GeoNames_truncated20.txt,7240280,180,234839,83593,28393,456
GeoNames_truncated20.txt,7240280,190,224223,79378,26942,453
GeoNames_truncated20.txt,7240280,200,213332,73776,25529,495
GeoNames_truncated20.txt,7240280,210,202612,70418,24424,529
GeoNames_truncated20.txt,7240280,220,193243,65082,23225,489
GeoNames_truncated20.txt,7240280,230,184822,62308,22256,485
GeoNames_truncated20.txt,7240280,240,178371,59720,21308,483
GeoNames_truncated20.txt,7240280,250,172708,57317,20433,518
GeoNames_truncated20.txt,7240280,260,165896,55154,19665,478
GeoNames_truncated20.txt,7240280,270,160612,53071,18892,475
GeoNames_truncated20.txt,7240280,280,154891,51232,18242,474
GeoNames_truncated20.txt,7240280,290,150296,49504,17638,513
GeoNames_truncated20.txt,7240280,300,146285,47834,17011,466
GeoNames_truncated20.txt,7240280,310,142310,46319,16483,475
GeoNames_truncated20.txt,7240280,320,138317,44861,15941,460
GeoNames_truncated20.txt,7240280,330,133582,43567,15500,495
GeoNames_truncated20.txt,7240280,340,131064,42278,15022,461
GeoNames_truncated20.txt,7240280,350,126697,40990,14521,456
GeoNames_truncated20.txt,7240280,360,123227,39905,14152,455
GeoNames_truncated20.txt,7240280,370,120840,38786,13737,497
GeoNames_truncated20.txt,7240280,380,116959,37875,13438,449
GeoNames_truncated20.txt,7240280,390,115232,36821,13032,445
GeoNames_truncated20.txt,7240280,400,112264,35965,12739,444
GeoNames_truncated20.txt,7240280,410,109957,35017,12367,489
GeoNames_truncated20.txt,7240280,420,106676,34249,12115,449
GeoNames_truncated20.txt,7240280,430,105100,33487,11848,447
GeoNames_truncated20.txt,7240280,440,103096,32727,11564,449
GeoNames_truncated20.txt,7240280,450,101690,31935,11256,466
GeoNames_truncated20.txt,7240280,460,98893,31308,11053,432
GeoNames_truncated20.txt,7240280,470,97886,30653,10818,431
GeoNames_truncated20.txt,7240280,480,94096,29057,10577,427
GeoNames_truncated20.txt,7240280,490,91706,28507,10388,456
GeoNames_truncated20.txt,7240280,500,91127,27936,10170,423
GeoNames_truncated20.txt,7240280,510,89823,27372,9957,423
GeoNames_truncated20.txt,7240280,520,87391,26881,9773,419
GeoNames_truncated20.txt,7240280,530,85907,26387,9595,455
GeoNames_truncated20.txt,7240280,540,84506,25883,9395,418
GeoNames_truncated20.txt,7240280,550,83240,25423,9235,416
GeoNames_truncated20.txt,7240280,560,81709,25017,9097,416
GeoNames_truncated20.txt,7240280,570,80643,24576,8932,479
GeoNames_truncated20.txt,7240280,580,79139,24152,8764,437
GeoNames_truncated20.txt,7240280,590,78363,23705,8584,440
GeoNames_truncated20.txt,7240280,600,77428,23259,8398,434
GeoNames_truncated20.txt,7240280,610,75706,22878,8249,444
GeoNames_truncated20.txt,7240280,620,75063,22525,8128,405
